,title,title_len,title_in_content,content_len,include_rate
1344,宣言长风破浪会有时,4,3,3330,0.75
1345,人民日报钟声美国贫富分化现实如此冷酷,8,6,772,0.75
1346,涵养底蕴深厚的文化长江,6,4,996,0.6666666666666666
1347,有序推动复工复产,4,4,671,1.0
1348,温暖住有所居的梦想,6,6,765,1.0
1349,积极参与打赢脱贫攻坚战,4,3,728,0.75
1350,技术迭代打开无限想象力,5,5,848,1.0
1351,以顽强奋斗体现爱国主义情怀,6,6,789,1.0
1352,困难挑战越大越要深化改革,5,4,459,0.8
1353,向勇挑重担敢打硬仗的人民子弟兵致敬,8,8,445,1.0
1354,坚持“少数”“多数”的辩证法,9,9,892,1.0
1355,“当惊世界殊”的绿色奇迹,8,8,670,1.0
1356,铁腕整治形式主义官僚主义,4,4,940,1.0
1357,如何看待“犯错误”,5,5,616,1.0
1358,时刻绷紧疫情防控这根弦扎实推进复工复产复学,11,11,496,1.0
1359,科学防治，让各项举措更有力有效,9,9,865,1.0
1360,精准扶贫要扶到根子上,7,7,724,1.0
1361,真心接受理论之光的沐浴,6,2,1041,0.3333333333333333
1362,美国应该先治治自己的“人权病”了,11,11,968,1.0
1363,世界需要什么样的联合国？“中国主张”解答“时代之问”,15,14,1040,0.9333333333333333
1364,为基层减负要有担当精神,7,7,659,1.0
1365,深刻认识和科学把握新发展阶段,8,8,1882,1.0
1366,超越“认知藩篱”消弭“理解赤字”,10,10,1063,1.0
1367,理直气壮开好思政课,3,3,624,1.0
1368,心无旁骛发展好实体经济,5,5,591,1.0
1369,用科学与理性戳穿阴谋论,6,5,540,0.8333333333333334
1370,抓好坚持和完善党的领导坚持和发展中国特色社会主义,11,11,683,1.0
1371,磋商才是解决问题的正确路径,7,7,777,1.0
1372,营商环境优化彰显国家治理现代化成就,8,8,886,1.0
1373,关系我国发展全局的重大战略任务,8,8,5243,1.0
1374,坚持党对政法工作的绝对领导,8,8,710,1.0
1375,根治“官状病毒”须中西医结合,8,8,925,1.0
1376,对只会“画圈”的干部要加大问责力度,11,11,504,1.0
1377,学党史重在悟思想,5,4,805,0.8
1378,在实打实考验中提高管党治党水平,8,8,804,1.0
1379,靠监督跳出历史周期率,5,4,897,0.8
1380,凝聚实现民族复兴的磅礴力量,7,7,1094,1.0
1381,“中国的经验对全人类非常重要”,9,9,1071,1.0
1382,人民幸福是最大的人权,6,6,657,1.0
1383,也给扶贫干部送些“温暖”,8,6,757,0.75
1384,党纪是永远的“戒尺”,7,7,814,1.0
1385,续写更多“春天的故事”,8,8,130,1.0
1386,联防联控群防群治,3,3,628,1.0
1387,夺取脱贫攻坚战全面胜利,5,3,541,0.6
1388,“十四五”时期我国发展必须遵循的重要原则,11,11,859,1.0
1389,期待荆楚大地重新焕发活力,6,3,350,0.5
1390,坚持以“两个维护”引领全党团结统一,10,10,731,1.0
1391,把实体经济做实做强做优,8,8,634,1.0
1392,让友谊与和平的歌声更加嘹亮,8,5,485,0.625
1393,钟声国际秩序容不得任性妄为,6,5,938,0.8333333333333334
1394,中国经济的空间广阔,5,5,710,1.0
1395,深入贯彻新时代党的组织路线,7,6,630,0.8571428571428571
1396,走出“别让孩子输在起跑线上”的认知误区,12,9,470,0.75
1397,永远保持“冲锋”姿态,6,6,821,1.0
1398,携手守护全人类共同价值,5,5,775,1.0
1399,走更高水平的自力更生之路,7,7,393,1.0
1400,选人用人，忠诚老实为先,5,5,882,1.0
1401,深入把握精准施策的内涵要义,7,6,1967,0.8571428571428571
1402,在抗疫大战中激扬青春风采,7,6,617,0.8571428571428571
1403,让中国成为全球知识价值实现的热土,9,9,759,1.0
1404,理性看待和应对中美经贸摩擦,8,7,2022,0.875
1405,最美的科研誓言是报国,6,5,701,0.8333333333333334
1406,2020，宣传思想工作如何实起来强起来,10,10,677,1.0
1407,坚如磐石的战略定力,4,4,901,1.0
1408,远离病毒必须切断野生动物利益链,7,7,457,1.0
1409,望海楼各国各方一定要携起手来共同努力,7,6,574,0.8571428571428571
1410,望海楼生态环境保护要久久为功,6,5,620,0.8333333333333334
1411,高质量发展，新时代的“强国策”,10,9,859,0.9
1412,推动中俄关系实现更大发展,5,5,518,1.0
1413,“军味”体育里的感悟,7,5,393,0.7142857142857143
1414,人民日报抓紧抓实抓细常态化疫情防控,8,7,667,0.875
1415,思旧怀人又清明,4,2,634,0.5
1416,让循环的“脉搏”更强劲,8,8,461,1.0
1417,望海楼反暴力撑警队护香港,7,3,726,0.42857142857142855
1418,望海楼什么是中国当前最重要的事,9,8,825,0.8888888888888888
1419,守教育报国初心担筑梦育人使命,8,8,740,1.0
1420,沉下身子调研紧盯问题整改,7,2,526,0.2857142857142857
1421,与其坐而“联想”，不如奋起“华为”,12,10,729,0.8333333333333334
1422,抓好立德树人的根本任务,5,4,570,0.8
1423,这是娃从小到大的必修课，就该这样上,11,5,249,0.45454545454545453
1424,国之大典，盛大亮相,5,5,617,1.0
1425,防疫也要防“抑”！别忽视疫情制造的心理问题,15,10,682,0.6666666666666666
1426,答好幸福的考卷,5,5,627,1.0
1427,必须剜除国家与民族肌体上的“港独”毒瘤,12,12,904,1.0
1428,在抗震救灾一线诠释“初心”“使命”,11,11,195,1.0
1429,以自我革命精神开展主题教育,7,7,709,1.0
1430,开启务实合作新局面,5,3,1549,0.6
1431,同心建言资政同向凝聚共识,7,7,884,1.0
1432,人民日报钟声没有人能够让历史开倒车,8,6,805,0.75
1433,促进健身行业更“健康”,7,7,703,1.0
1434,全力防汛抗洪确保生命安全,5,4,639,0.8
1435,把思政课讲得有滋有味,5,5,764,1.0
1436,共享引领，全面小康不落一人,7,5,674,0.7142857142857143
1437,舍生忘死，敢于压倒一切困难,5,5,834,1.0
1438,《反分裂国家法》15年，震慑“台独”力度依然强大,15,15,714,1.0
1439,感悟“千年第一思想家”的真理力量,9,9,801,1.0
1440,新品牌，中国制造乘势而上,6,6,833,1.0
1441,切实把监督抓到底抓到位全力保障脱贫攻坚决战决胜,13,13,758,1.0
1442,鼓励创新，为协同发展赋能,7,7,788,1.0
1443,人民日报社论抗疫斗争铸就民族复兴新的精神丰碑,11,8,1002,0.7272727272727273
1444,踏平坎坷成大道,4,1,775,0.25
1445,确保“一国两制”行稳致远的治本之策,9,9,860,1.0
1446,扎实苦干，用奋斗成就未来,7,5,755,0.7142857142857143
1447,中国的发展中国家地位不容剥夺,6,5,701,0.8333333333333334
1448,用诚信机制甄别假医生,6,4,727,0.6666666666666666
1449,创新不问“出身”,5,5,848,1.0
1450,辛识平习近平的“文明足迹”启示了什么,10,9,555,0.9
1451,和音始终做多边主义的践行者,9,8,777,0.8888888888888888
1452,“把中小学生还给学校”亟待配套改革,8,7,758,0.875
1453,精准分配每一分补助莫让一线防控人员寒心,9,9,533,1.0
1454,战斗在每一个街巷和社区,7,7,537,1.0
1455,完善信用监管，规范市场秩序,6,6,655,1.0
1456,让核心价值观融入法治建设,6,5,822,0.8333333333333334
1457,实现高水平科技自立自强,4,4,623,1.0
1458,要为人民做实事,5,5,752,1.0
1459,擘画中希关系发展新蓝图,6,5,662,0.8333333333333334
1460,经济日报“长久不变”是农村改革的伟大制度性成果,12,11,912,0.9166666666666666
1461,我们种树去！,4,4,436,1.0
1462,钟声中国坚定反制的立场决不动摇,8,7,596,0.875
1463,把国家民族命运牢牢握在人民手中,9,8,451,0.8888888888888888
1464,有悖于国际规则与时代格格不入,6,6,821,1.0
1465,前进路上弥足珍贵的精神财富,5,4,762,0.8
1466,更有针对性稳外贸稳外资,7,7,696,1.0
1467,人民满意就是最高荣誉,4,4,430,1.0
1468,把握历史话语权树立正确价值观,6,6,919,1.0
1469,提质扩容促进家政业发展,6,5,671,0.8333333333333334
1470,中国经济的信心所依,5,4,684,0.8
1471,战“疫”更需拎稳“菜篮子”,11,9,809,0.8181818181818182
1472,必须将乱港暴徒绳之以法！,7,7,794,1.0
1473,“长久不变”为新时代农村土地“赋能”,11,9,533,0.8181818181818182
1474,应收尽收应治尽治,4,4,593,1.0
1475,风雨无阻的奋进征程,4,4,5510,1.0
1476,应对返程复工高峰特大城市要下“绣花”功夫,11,9,507,0.8181818181818182
1477,防汛大考必须压实责任,5,4,478,0.8
1478,加快建设科技强国实现高水平科技自立自强,8,8,686,1.0
1479,强化底线思维，时刻防范重大风险,8,8,588,1.0
1480,从国家战略高度应对人口老龄化,6,6,704,1.0
1481,发展能力展现制度优势,5,5,960,1.0
1482,三分钟，瞬间化作永恒,5,5,265,1.0
1483,让红色基因代代相传,4,4,1313,1.0
1484,念好网信事业发展的“人才经”,9,9,568,1.0
1485,建设德才兼备的高素质法治队伍,6,6,720,1.0
1486,人民日报让新基建释放更大潜能,7,4,670,0.5714285714285714
1487,以良法善治保障新业态新模式健康发展,9,9,695,1.0
1488,亚洲需要文明自信,4,4,630,1.0
1489,疫情当前，每个人都是重要一环,8,8,515,1.0
1490,开展党史教育强化高校铸魂育人的立身之本,11,11,941,1.0
1491,中国更有自信走向未来,6,3,396,0.5
1492,把作风建设摆在突出位置来抓,7,4,642,0.5714285714285714
1493,保护知识产权就是保护创新,5,5,349,1.0
1494,以立德树人铸就教育之魂,7,5,703,0.7142857142857143
1495,青春献给祖国，新时代雷锋精神的新阐释,10,9,615,0.9
1496,下大气力全面推进乡村振兴,6,4,758,0.6666666666666666
1497,人民是我们党执政的最大底气,7,6,903,0.8571428571428571
1498,促进更高水平对外开放,4,4,724,1.0
1499,加快构建新发展格局为“十四五”开好局,10,10,1019,1.0
1500,新制造，让生产更加智能化,7,7,819,1.0
1501,成绩来之不易未来更需努力,6,6,595,1.0
1502,推动构建更为紧密的中缅命运共同体,9,9,759,1.0
1503,让民营企业放心大胆求发展,5,5,581,1.0
1504,“伟大精神”凝聚磅礴力量,7,7,873,1.0
1505,战“疫”中努力保持生产生活平稳有序,11,9,615,0.8181818181818182
1506,“五一”国际劳动节,5,5,689,1.0
1507,弘扬宪法精神增强宪法意识,6,6,569,1.0
1508,国有企业迎难而上显担当,4,2,739,0.5
1509,努力续写更多“春天的故事”,9,9,686,1.0
1510,进一步完善干部选拔任用工作监督体系,8,8,794,1.0
1511,把医疗救治工作摆在第一位,6,6,516,1.0
1512,关键时刻的中国担当,4,3,1015,0.75
1513,用奋斗定义青春,4,4,475,1.0
1514,在变化的世界，致敬不变的你,9,7,735,0.7777777777777778
1515,钟声必须抵制挑衅现代文明的行径,7,4,697,0.5714285714285714
1516,外汇储备规模基本稳定趋势不变,6,6,679,1.0
1517,全球供应链“去中国化”只是噱头,8,8,809,1.0
1518,新区三十正青春，浦东更向潮头立,10,10,494,1.0
1519,通力合作是全球卫生治理最优选择,7,7,675,1.0
1520,要时刻绷紧疫情防控这根弦决不能麻痹大意,9,7,631,0.7777777777777778
1521,从民生关切中找到民生动力,7,7,661,1.0
1522,不可阻挡的前进步伐,5,5,737,1.0
1523,抓紧补齐返乡路上防疫“短板”,8,6,469,0.75
1524,保持战略定力增强道路自信稳步实现发展目标,10,10,946,1.0
1525,书写新时代改革开放的“雄安篇章”,9,9,778,1.0
1526,主题教育离不开调查研究,5,4,810,0.8
1527,用优美生态环境造福人民,5,4,783,0.8
1528,望海楼五年六次座谈会，扶贫就得钉钉子！,10,7,818,0.7
1529,良好道德是中国精神的基石,7,6,464,0.8571428571428571
1530,不断提高选人用人质量,5,5,894,1.0
1531,望海楼对话是文明间应有的姿态,8,7,756,0.875
1532,不忘初心、牢记使命要形成长效机制,8,8,643,1.0
1533,请务必保护好这支中坚力量,6,5,487,0.8333333333333334
1534,架设不同文明互学互鉴的桥梁,7,7,833,1.0
1535,坚定不移推动经济高质量发展,5,5,631,1.0
1536,共同发展，“两个毫不动摇”不会变,9,9,673,1.0
1537,答好战“疫”大考的民生卷,9,7,542,0.7777777777777778
1538,发挥财政政策维护基本面作用,5,5,617,1.0
1539,涵养共产党人的浩然正气,4,3,611,0.75
1540,全面深化改革取得历史性伟大成就,5,5,846,1.0
1541,葆有充沛顽强的斗争精神,7,7,689,1.0
1542,感受奔向全面小康的脚步,7,4,769,0.5714285714285714
1543,织密农村疫情防控网,5,3,806,0.6
1544,为实现中华民族伟大复兴的中国梦时刻准备着,11,11,557,1.0
1545,最鲜活的现实明证最生动的实践写照,10,10,790,1.0
1546,凝聚智慧力量迈上新的征程,7,5,872,0.7142857142857143
1547,国际关系理论和实践的重大创新,8,8,682,1.0
1548,不断激发民营企业新活力,5,4,777,0.8
1549,谁在玩“指责游戏”？真相不言自明！,11,8,632,0.7272727272727273
1550,让留岗福利直达留岗人,5,5,311,1.0
1551,留下玫瑰，授人荆棘,5,5,837,1.0
1552,让科技之光洒满希望的田野,7,4,484,0.5714285714285714
1553,推动媒体融合发展走深走实,6,6,689,1.0
1554,为学生提供更高质量教育,6,6,734,1.0
1555,将改革开放进行到底,4,4,881,1.0
1556,五年规划彰显中国制度优势,6,5,598,0.8333333333333334
1557,创造全民族道德素质和社会文明的新高度,10,9,1706,0.9
1558,以“合”的智慧拓展合作之路,10,9,735,0.9
1559,把发展的信心传导给全社会,8,8,742,1.0
1560,如此打压中国企业，很不光彩！,9,7,537,0.7777777777777778
1561,药品广告应杜绝虚假包装,6,3,707,0.5
1562,社区防控疫情不能搞“一刀切”,8,7,382,0.875
1563,让我们一起逐梦前行,5,5,724,1.0
1564,疫情暴露美国民主实质,5,4,893,0.8
1565,让互联网更好造福国家和人民,7,7,589,1.0
1566,学习百年党史，感悟真理力量,7,7,680,1.0
1567,帮扶“4050”是易地搬迁后续扶贫重点,10,9,686,0.9
1568,民心是永远摧不垮的“根据地”,8,7,1019,0.875
1569,莫让“文山会海”成为基层干部的累赘,8,5,427,0.625
1570,疫情防控持续向好关头必须不麻痹、不厌战、不松劲,15,14,626,0.9333333333333333
1571,勇于自我革命巩固最大优势,6,6,756,1.0
1572,不断提高党员干部的政治能力,6,6,701,1.0
1573,为复工复产打通“堵点”补上“断点”,12,12,572,1.0
1574,望海楼主场外交凸显中国感召力,6,4,561,0.6666666666666666
1575,深刻认识加强生态文明建设的重大意义,8,8,666,1.0
1576,“危中有机，唯创新者胜”,8,8,767,1.0
1577,整改落实务求实效,4,2,586,0.5
1578,经济复苏更需消费添动力,7,5,471,0.7142857142857143
1579,这份“民生清单”件件都与你我相关,12,12,440,1.0
1580,筑牢保障人民生命健康的制度防线,8,8,733,1.0
1581,让人人享有安宁祥和,5,5,773,1.0
1582,顺应亚洲人民期待是亚洲各国的共同责任,9,9,666,1.0
1583,铭记伟大变革共创美好明天,6,4,901,0.6666666666666666
1584,勋章与荣誉背后的关键词,6,4,571,0.6666666666666666
1585,中国经济长期向好的奥秘,7,7,825,1.0
1586,社论七十年，初心不忘，征程在前,10,6,1251,0.6
1587,辛识平“华为的底气”告诉我们什么,9,5,586,0.5555555555555556
1588,“文明如水，润物无声”,6,6,802,1.0
1589,在应对危机中打好发展主动仗,8,8,1212,1.0
1590,中国经济的无限潜能,5,5,669,1.0
1591,端起伟大真理的望远镜,5,5,725,1.0
1592,用制度优势开创文化兴国新局面,8,4,726,0.5
1593,煽动冷战情绪的蓬佩奥严重威胁世界和平,8,7,1169,0.875
1594,巩固发展反腐败斗争压倒性胜利,6,6,679,1.0
1595,着力推动思政课改革创新,5,5,722,1.0
1596,军队老干部工作是党和军队的一项重要工作,11,11,600,1.0
1597,中国智慧持续助力破解“四大赤字”,9,8,794,0.8888888888888888
1598,防控疫情，责任担当的试金石,7,7,415,1.0
1599,继续施压只会适得其反,4,2,632,0.5
1600,磋商，不等于反复折腾,6,6,324,1.0
1601,坚守心中的“开山岛”,7,7,721,1.0
1602,奋力走好创建世界一流企业新的长征路,10,10,1389,1.0
1603,不忘初心、牢记使命，让主题教育取得实实在在成效,12,12,708,1.0
1604,决胜脱贫攻坚擦亮“人民至上”鲜明底色,10,9,933,0.9
1605,坚决打好三大攻坚战,4,4,763,1.0
1606,交出实干担当的优异答卷,6,5,515,0.8333333333333334
1607,企业家当勇担社会责任,4,3,613,0.75
1608,直面挑战迅速行动,3,3,650,1.0
1609,理性磋商才能负责任地解决问题,6,4,601,0.6666666666666666
1610,打造高素质的思政教师队伍,5,5,576,1.0
1611,力戒形式主义切实为基层减负,6,6,625,1.0
1612,美莫对贸易“霸凌”心存幻想,7,4,430,0.5714285714285714
1613,保护好管理好运用好革命文物,8,8,757,1.0
1614,立足岗位书写报国之志,5,5,840,1.0
1615,为政以公，行胜于言,5,5,643,1.0
1616,在应势而动中日日常新,6,5,874,0.8333333333333334
1617,抗洪精神诠释生命至上理念,6,6,607,1.0
1618,凝聚知识产权保护更大合力,5,5,679,1.0
1619,青春的延安奋斗的时代,6,6,470,1.0
1620,不忘改革初心坚定道路选择,8,5,813,0.625
1621,在今日之变中触摸未来之光,7,7,477,1.0
1622,涵养迎难而上的刚毅品格,5,5,686,1.0
1623,理直气壮为担当作为的干部撑腰鼓劲,8,8,834,1.0
1624,人民日报钟声凝聚合力，坚持人民至上,8,5,981,0.625
1625,铭记革命历史传承革命传统,6,6,1071,1.0
1626,做人须“勇改”,5,4,701,0.8
1627,防控疫情下好全国一盘棋,5,4,659,0.8
1628,努力实现今年经济社会发展目标任务,6,5,688,0.8333333333333334
1629,传承中华民族和平基因践行人民军队根本宗旨,7,6,748,0.8571428571428571
1630,乘势而上开启新征程,4,3,622,0.75
1631,百年梦想的第一道曙光,5,5,550,1.0
1632,坚决制止餐饮浪费行为,5,5,736,1.0
1633,为打赢疫情防控阻击战提供强大科技支撑,9,9,752,1.0
1634,延迟法定退休年龄会加剧就业难吗,8,6,994,0.75
1635,传承红色基因走好新时代长征路,8,8,1051,1.0
1636,如何把握扩大内需这一战略基点,6,3,837,0.5
1637,忠诚担当打造金色盾牌,5,5,463,1.0
1638,坚持多边主义是人间正道,5,5,696,1.0
1639,在变革的大潮中交流合作、顺势而为,11,10,1464,0.9090909090909091
1640,扩大开放，实现共同繁荣的主动选择,8,7,782,0.875
1641,突出政治标准选人用人,5,5,751,1.0
1642,“我自岿然不动”的战略定力,8,8,659,1.0
1643,跟党走为人民能胜利,5,5,813,1.0
1644,管好用好人民群众的“救命钱”,9,9,887,1.0
1645,坚持党的集中统一领导,5,5,637,1.0
1646,就地过年让文化创造更多可能性,9,8,723,0.8888888888888888
1647,推动中美关系健康稳定向前发展,6,6,428,1.0
1648,新动员，凝聚奋进力量,6,6,581,1.0
1649,坚持独立自主自办保障宗教信仰自由,6,6,337,1.0
1650,把伟大抗疫精神转化为推动历史进步的强大动力,12,12,730,1.0
1651,新媒体比想象更迷人,6,3,652,0.5
1652,应对机遇与挑战的新变化,7,7,594,1.0
1653,学会“十个指头弹钢琴”,6,5,711,0.8333333333333334
1654,社论坚决夺取全面建成小康社会伟大胜利,7,6,846,0.8571428571428571
1655,争分夺秒坚决打赢疫情防控这场硬仗,7,7,710,1.0
1656,极限施压，注定无用,5,4,612,0.8
1657,坚决落实“爱国者治港”确保“一国两制”行稳致远,12,12,682,1.0
1658,自信的中国更有底气,6,6,853,1.0
1659,推动金融业高质量发展,4,4,703,1.0
1660,我国国家治理依照中国特色社会主义制度展开,9,9,674,1.0
1661,团结抗疫，共建人类卫生健康共同体,8,7,731,0.875
1662,中欧携手为经济全球化注入强劲信心,8,5,386,0.625
1663,冲破极端主义的精神牢笼,5,3,1482,0.6
1664,以战时状态投入疫情防控,6,5,975,0.8333333333333334
1665,严防疫情反弹影响复工复产,6,5,580,0.8333333333333334
1666,践行新时代好干部标准的动力哪里来,10,10,681,1.0
1667,以实际行动发扬伟大民族精神,6,6,720,1.0
1668,增强忧患意识防范风险挑战,5,5,643,1.0
1669,善用制度优势应对风险挑战,6,5,653,0.8333333333333334
1670,中俄合作凸显战略价值与国际意义,9,8,721,0.8888888888888888
1671,领导干部要提高政治判断力领悟力执行力,8,8,853,1.0
1672,规范发展才有平台经济更好未来,8,8,443,1.0
1673,牢记嘱托，向着国际一流新型主流媒体奋进,10,10,569,1.0
1674,大事难事看担当,4,4,223,1.0
1675,傲慢·伪善·霸道,5,3,879,0.6
1676,任何对中国的恶意诋毁都是徒劳,9,9,760,1.0
1677,在历史交汇点上凝聚磅礴力量,7,7,665,1.0
1678,作百般新曲，唱千年词章,7,2,820,0.2857142857142857
1679,国之大典，伟力凝聚,5,4,697,0.8
1680,辛识平中国大市场，世界大机遇,8,7,590,0.875
1681,在矢志奋斗中谱写新时代的青春之歌,10,10,550,1.0
1682,全力做好疫情防控重点物资保障,7,7,260,1.0
1683,在矢志奋斗中谱写新时代的青春之歌,10,10,270,1.0
1684,疫情就是命令防控就是责任,6,6,619,1.0
1685,光明日报社论初心不忘使命在肩永久奋斗,10,6,659,0.6
1686,记录新时代书写新时代讴歌新时代,9,9,1148,1.0
1687,六保怎么保把钱花到刀刃上为基层运转加力,11,6,400,0.5454545454545454
1688,正确认识和把握新发展阶段,6,5,577,0.8333333333333334
1689,博物馆，换个姿势走进千家万户,6,4,741,0.6666666666666666
1690,把改革开放旗帜举得更高,6,4,730,0.6666666666666666
1691,持之以恒，坚持全面从严治党不动摇,7,6,693,0.8571428571428571
1692,望海楼爱国，做人最大的事情,7,6,960,0.8571428571428571
1693,一堂激扬奋进的新时代思政课,7,6,669,0.8571428571428571
1694,“我将无我，不负人民”,9,9,582,1.0
1695,为“南丁格尔”们的坚守鼓劲,8,5,671,0.625
1696,把中朝传统友谊发展得更好,6,6,690,1.0
1697,始终筑牢“一国两制”社会政治基础,8,8,691,1.0
1698,越到关键时刻，越要把准航向,7,7,361,1.0
1699,新时代的春天充满希望,5,4,1600,0.8
1700,代际更替，农民工渴望幸福升级,7,4,712,0.5714285714285714
1701,垄断设施、监视全球，网络公共空间竟成美国私有领地,13,5,577,0.38461538461538464
1702,为“一国两制”筑牢安全堤坝,7,7,624,1.0
1703,弘扬敢闯敢试、敢为人先的改革精神,9,9,741,1.0
1704,以文明互鉴之光照亮人类未来,7,6,572,0.8571428571428571
1705,用党的科学理论武装全党,6,6,810,1.0
1706,用社会责任导引“内容创新”,8,7,983,0.875
1707,致青春我将无我，不负韶华！,10,9,442,0.9
1708,突出制度建设主线全面深化改革,6,6,591,1.0
1709,搞科技霸权就是阻碍发展进步,7,7,936,1.0
1710,为有源头活水来,4,4,3011,1.0
1711,中央权威不容挑战,4,4,483,1.0
1712,中国市场这么大，欢迎大家都来看看,10,5,613,0.5
1713,指望中国放弃原则立场不啻于痴人说梦,7,5,597,0.7142857142857143
1714,为中非命运共同体注入新动力,6,4,808,0.6666666666666666
1715,狠抓落实见行动,3,3,303,1.0
1716,高质量高标准建设海南自由贸易港,6,6,572,1.0
1717,恢复跨省游，“撒欢”之余仍需保持清醒,12,7,605,0.5833333333333334
1718,网络直播岂可践踏法律与道德底线,8,6,479,0.75
1719,紧贴民生推动新疆经济高质量发展,7,7,761,1.0
1720,为实现朝鲜半岛持久和平行动起来,6,6,832,1.0
1721,面对疫情，中国为世界扛起了什么,9,7,522,0.7777777777777778
1722,贴着群众需求做工作,5,5,668,1.0
1723,疫情大考，考的就是执行力,7,7,452,1.0
1724,中国捍卫核心利益的决心坚定不移,7,7,402,1.0
1725,司法鉴定不容造假诚信底线不能失守,7,5,388,0.7142857142857143
1726,“按规矩办”最省心,7,7,679,1.0
1727,环境信用管理仍有诸多应用空间,8,4,778,0.5
1728,为儿童成长提供立体保护,6,5,622,0.8333333333333334
1729,织牢织密公共卫生防护网,4,4,795,1.0
1730,“教化乡邑”的他们让人肃然起敬,9,9,798,1.0
1731,用一生践行共产党人的初心与使命,8,8,508,1.0
1732,中国纪检监察报有获得有感情方有获得感,9,5,675,0.5555555555555556
1733,新基建“新”在哪里？,8,8,1258,1.0
1734,北京冬奥会为何让世界放心？,7,5,690,0.7142857142857143
1735,“发展能力”是脱贫关键,7,6,654,0.8571428571428571
1736,引源放水，激活基层经验,6,4,845,0.6666666666666666
1737,辛识平让文明之光照亮战“疫”之路,11,10,546,0.9090909090909091
1738,在赶考追梦路上砥砺过硬本领,6,4,736,0.6666666666666666
1739,以供给侧结构性改革持续激发新动能,9,9,654,1.0
1740,从焦虑中读懂期待,5,4,412,0.8
1741,确保脱贫攻坚成效经得起历史和人民检验,9,9,424,1.0
1742,做担当民族复兴大任的时代新人,8,8,456,1.0
1743,坚持向科学要答案、要方法,8,8,613,1.0
1744,为信用信息筑牢安全堤坝,6,5,683,0.8333333333333334
1745,坚持两手抓两促进,4,4,229,1.0
1746,“政治病毒”是新冠病毒帮凶应同步消杀,11,10,710,0.9090909090909091
1747,以法治化与标准化夯实网络安全治理基石,8,5,780,0.625
1748,全球治理观中法有共同价值理念,7,5,960,0.7142857142857143
1749,打造充满活力的城市之治,5,5,704,1.0
1750,搬新家还要安下心立好业,5,2,615,0.4
1751,持续整治群众身边腐败,5,5,530,1.0
1752,牢记科技报国初心涵养科技创新活力,9,9,552,1.0
1753,既要保持战略定力更要积极作为,8,5,425,0.625
1754,汶川十年，世界见证中国力量,7,5,584,0.7142857142857143
1755,美企热追进博会昭示了什么,6,2,727,0.3333333333333333
1756,构建人类命运共同体，指引人类社会破解“世界之问”,13,11,656,0.8461538461538461
1757,借力新媒体创新思政课,5,5,949,1.0
1758,辛识平人间至味是真情,5,4,501,0.8
1759,让青春在不懈奋斗中绽放绚丽之花,9,9,721,1.0
1760,发挥优势提升产业基础能力和产业链水平,8,8,481,1.0
1761,提质增效，增强综合国力,5,2,801,0.4
1762,别样“五一”新意足,6,5,525,0.8333333333333334
1763,用行政手段逼美企撤离中国纯属一厢情愿,8,5,778,0.625
1764,从“两会金句”读懂中国发展,8,7,886,0.875
1765,坚持全面依法治国,3,3,848,1.0
1766,望海楼全球可持续发展的中国贡献,8,7,528,0.875
1767,筑牢公共卫生安全法治防线,5,3,746,0.6
1768,中华民族一家亲携手奋进新时代,6,6,468,1.0
1769,畅通经济循环须通“堵点”接“断点”,11,9,638,0.8181818181818182
1770,坚定不移走绿色发展之路,6,6,569,1.0
1771,带上“四心”继续战斗,6,5,733,0.8333333333333334
1772,保护秦岭，走出绿色发展新路,7,6,767,0.8571428571428571
1773,“了不起”的女医护见证中国人权发展进步,11,10,971,0.9090909090909091
1774,问责不能泛化简单化,4,3,617,0.75
1775,毕业了，留住美好，迈上新程,8,4,410,0.5
1776,信心在胸战必胜,4,2,743,0.5
1777,“双十一”带动全球经济共振,8,8,670,1.0
1778,中国新时代是世界的机遇,7,7,617,1.0
1779,大力弘扬新时代北斗精神,6,6,735,1.0
1780,辛识平帮助老年人跨过“数字鸿沟”,8,7,338,0.875
1781,打造高质量发展的黄金经济带,6,5,672,0.8333333333333334
1782,南方暴雪映照治理进步,5,3,780,0.6
1783,多措并举推动乡村人才振兴,6,5,612,0.8333333333333334
1784,守初心是一辈子的事,6,6,801,1.0
1785,破除“过度留痕”的形式主义,7,7,468,1.0
1786,深入调研出实招,4,4,552,1.0
1787,解放军报社论坚定信心迎难而上坚决实现国防和军队建设目标任务,12,10,782,0.8333333333333334
1788,惠民、利民、为民，建设美丽中国,9,9,768,1.0
1789,自贸试验区扩围展现中国开放新作为,8,8,543,1.0
1790,庆祝党的百年华诞志愿服务大有可为,8,8,681,1.0
1791,不做饱食终日、无所用心的懒官,7,7,703,1.0
1792,“十四五”，社会治理开新局,7,6,829,0.8571428571428571
1793,画好同心圆筑梦新时代,4,3,701,0.75
1794,坚持效果导向达到预期目标,6,6,650,1.0
1795,赢得中美经贸摩擦需要纠正三种错误认知,10,8,1727,0.8
1796,人民至上是作出正确抉择的根本前提,9,9,696,1.0
1797,以人工智能赋能“万物互联”,7,6,679,0.8571428571428571
1798,拓宽选人用人视野的破冰之举,8,8,517,1.0
1799,做好携手迎接更多全球性挑战的准备,9,9,790,1.0
1800,共建人与自然生命共同体,4,4,657,1.0
1801,为建设健康中国增进人民健康福祉作出新贡献,11,11,441,1.0
